		Minimum = 0.217122002			
K3 Angle	K4 Angl4	Single_cod	Inj_eff		
0	0	0.574791889	72	0.357669887	928
0	0.25	0.577920074	122	0.360798072	878
0	0.5	0.589953233	228	0.372831231	772
0	0.75	0.606672919	355	0.389550917	645
0	1	0.627496925	408	0.410374923	592
0	1.25	0.648906792	454	0.43178479	546
0	1.5	0.672632543	469	0.455510542	531
0	1.75	0.696445358	439	0.479323356	561
0	2	0.723897235	483	0.506775234	517
0	2.25	0.751282794	449	0.534160792	551
0	2.5	0.781567552	480	0.564445551	520
0	2.75	0.814004283	454	0.596882281	546
0	3	0.849552694	461	0.632430692	539
0	3.25	0.889338893	451	0.672216892	549
0	3.5	0.93560885	477	0.718486848	523
0	3.75	0.985974439	457	0.768852437	543
0	4	1.042521587	459	0.825399585	541
0	4.25	1.10566705	491	0.888545049	509
0	4.5	1.174464381	490	0.95734238	510
0	4.75	1.25120662	539	1.034084618	461
0	5	1.33424754	556	1.117125538	444
					
0.25	0	0.532612249	35	0.315490247	965
0.25	0.25	0.508640609	88	0.291518608	912
0.25	0.5	0.49857151	199	0.281449508	801
0.25	0.75	0.4993882	293	0.282266198	707
0.25	1	0.50919651	415	0.292074508	585
0.25	1.25	0.526554712	506	0.30943271	494
0.25	1.5	0.550721107	562	0.333599105	438
0.25	1.75	0.57919402	574	0.362072019	426
0.25	2	0.606965901	626	0.3898439	374
0.25	2.25	0.640353973	591	0.423231972	409
0.25	2.5	0.675427428	594	0.458305427	406
0.25	2.75	0.714354883	605	0.497232881	395
0.25	3	0.754111296	573	0.536989294	427
0.25	3.25	0.798067811	607	0.580945809	393
0.25	3.5	0.846206199	610	0.629084198	390
0.25	3.75	0.899597791	588	0.682475789	412
0.25	4	0.955850159	608	0.738728157	392
0.25	4.25	1.018803275	599	0.801681274	401
0.25	4.5	1.086427347	625	0.869305345	375
0.25	4.75	1.161058896	608	0.943936895	392
0.25	5	1.241950583	673	1.024828581	327
					
0.5	0	0.586841722	19	0.36971972	981
0.5	0.25	0.525725368	57	0.308603366	943
0.5	0.5	0.476069257	110	0.258947256	890
0.5	0.75	0.44370995	235	0.226587948	765
0.5	1	0.428579985	369	0.211457983	631
0.5	1.25	0.427277271	492	0.21015527	508
0.5	1.5	0.43620327	582	0.219081268	418
0.5	1.75	0.459465623	656	0.242343621	344
0.5	2	0.490618926	712	0.273496924	288
0.5	2.25	0.523270536	703	0.306148535	297
0.5	2.5	0.561323329	729	0.344201327	271
0.5	2.75	0.602853645	726	0.385731644	274
0.5	3	0.648140041	742	0.43101804	258
0.5	3.25	0.69589088	743	0.478768878	257
0.5	3.5	0.747068341	705	0.529946339	295
0.5	3.75	0.801871724	733	0.584749722	267
0.5	4	0.861182688	732	0.644060686	268
0.5	4.25	0.92315884	732	0.706036838	268
0.5	4.5	0.992984983	728	0.775862981	272
0.5	4.75	1.066341787	748	0.849219785	252
0.5	5	1.145167888	767	0.928045886	233
					
0.75	0	0.725065562	7	0.50794356	993
0.75	0.25	0.635279285	30	0.418157283	970
0.75	0.5	0.554417852	53	0.33729585	947
0.75	0.75	0.482157725	160	0.265035723	840
